original,standard
al-Sabti,ALSABTI
al-Sadr,ALSADR
Al-Saidy,ALSAIDY
Al Salam,ALSALAM
Al Sammani,ALSAMMANI
al Saoed,ALSAOED
Al-Saud,ALSAUD
Al Saudi,ALSAUDI
al-Sayeed,ALSAYEED
Al-Senussi,ALSENUSSI
Al-Shabaab,ALSHABAAB
al-Shabouni,ALSHABOUNI
Al-Shaer,ALSHAER
Al-Shakarchi,ALSHAKARCHI
al-Shami,ALSHAMI
Al-Shammari,ALSHAMMARI
al-Sharif,ALSHARIF
al-Shibh,ALSHIBH
al-Shihri,ALSHIHRI
Al-Sidi,ALSIDI
al-Sisi,ALSISI
al-Soofi,ALSOOFI
al-Subeihi,ALSUBEIHI
Al-Tai,ALTAI
Al-Talibani,ALTALIBANI
Al Thani,ALTHANI
al-Tikriti,ALTIKRITI
al-Turki,ALTURKI
Al-Twahni,ALTWAHNI
al-Walid,ALWALID
al-Yamani,ALYAMANI
Al-Zaidi,ALZAIDI
Al-Zarkawi,ALZARKAWI
al-Zawahiri,ALZAWAHIRI
al-Zayat,ALZAYAT
Al-Zeidi,ALZEIDI
Amnih-Lahri,AMNIHLAHRI
Anthoniszn.,ANTHONISZN
Aoud Saleh,AOUDSALEH
Aoulad Abdellah,AOULADABDELLAH
Aoulad Abdelkrim,AOULADABDELKRIM
Aoulad El Hay,AOULADELHAY
Aouled-lahcen,AOULEDLAHCEN
Ao-Yi,AOYI
Ap Meryk,APMERYK
Ap Meuric,APMEURIC
Ap Meurig,APMEURIG
Arna Jan,ARNAJAN
Arthus-Bertrand,ARTHUSBERTRAND
Aryanpur Kashani,ARYANPURKASHANI
As-Soennah,ASSOENNAH
Aulad X,AULADX
Aulad Abdellah,AULADABDELLAH
Aung San,AUNGSAN
Autar Ajoeb,AUTARAJOEB
Awadh Kumar,AWADHKUMAR
Baba Ali,BABAALI
Baba Levy,BABALEVY
Badar-Uugan,BADARUUGAN
Bai Pai,BAIPAI
Bakr Yunis,BAKRYUNIS
Bar-El,BAREL
Bar Giora,BARGIORA
Bar Kochba,BARKOCHBA
Baron Cohen,BARONCOHEN
Bar-Pereg,BARPEREG
Bar Tzedek,BARTZEDEK
B.Y.,BY
Beer-Sheva,BEERSHEVA
Bek-Nasarow,BEKNASAROW
Bel Abbès,BELABBES
Bello Abubakar,BELLOABUBAKAR
Bel Mouhan,BELMOUHAN
Ben Abdelali,BENABDELALI
Ben Ali,BENALI
Ben Amar,BENAMAR
Ben Ammar,BENAMMAR
Ben Arfa,BENARFA
Ben-Asher,BENASHER
Ben-Barrak,BENBARRAK
Ben Belaid,BENBELAID
Ben Chemsi,BENCHEMSI
Ben-Chiker,BENCHIKER
Ben David,BENDAVID
Ben Fraj,BENFRAJ
Ben Goerion,BENGOERION
Ben-Gurion,BENGURION
ben Hamad,BENHAMAD
Ben Hammou,BENHAMMOU
Ben Hamo,BENHAMO
Ben Hamza,BENHAMZA
Ben Hassan,BENHASSAN
Ben Jaïr,BENJAIR
Ben Jelloun,BENJELLOUN
Ben Kazez,BENKAZEZ
Ben Masseoud,BENMASSEOUD
Ben M'Hidi,BENMHIDI
Ben Miled,BENMILED
Ben M'rad,BENMRAD
Ben-Nasr,BENNASR
Ben Natan,BENNATAN
Ben-Ner,BENNER
Ben Nouri,BENNOURI
Ben-Ozilio,BENOZILIO
ben Salah,BENSALAH
Ben Salem,BENSALEM
Ben-Shaul,BENSHAUL
Ben Tzion,BENTZION
Ben Yaya,BENYAYA
בן-ישי,בןישי
Ben-Yishai,BENYISHAI
Ben-Zvi,BENZVI
Bibi-Heybat,BIBIHEYBAT
bin Hamad,BINHAMAD
Bin Hammam,BINHAMMAM
Bin Khalifa,BINKHALIFA
Bin Laden,BINLADEN
Bin Talal,BINTALAL
Binte Zaheer,BINTEZAHEER
Bint Hamdan,BINTHAMDAN
Binti Ariffin,BINTIARIFFIN
Böhm-Bawerk,BOHMBAWERK
Bueno de Mesquita,BUENODEMESQUITA
Chang-Yong,CHANGYONG
Chao Kang Tai,CHAOKANGTAI
Che Musa,CHEMUSA
ChiChé,CHICHE
Chin-A-Sen,CHINASEN
Chin-A-Tsoi,CHINATSOI
Chin Woei Nap,CHINWOEINAP
CICERO,CICERO
Cna'an,CNAAN
כֹהֵן,כהן
Cornelisz.,CORNELISZ
da Costa,DACOSTA
d'Acoz,DACOZ
da Cruz,DACRUZ
Da Gama,DAGAMA
D'Agata,DAGATA
D'Agostini,DAGOSTINI
D'Agostino,DAGOSTINO
D'Alessandro,DALESSANDRO
d'Alessio,DALESSIO
D'Amato,DAMATO
d'Ambrosio,DAMBROSIO
D'Ametto,DAMETTO
D'Amico,DAMICO
d'Ancona,DANCONA
D'Angelo,DANGELO
D'Angio,DANGIO
d'Annunzio,DANNUNZIO
D'Antò,DANTO
D'Aquila,DAQUILA
D'Aragon,DARAGON
D'Arby,DARBY
D'Arcy,DARCY
D'Argent,DARGENT
d'Arnaud,DARNAUD
D'Arnault,DARNAULT
D'Arrigo,DARRIGO
D'Artagnan,DARTAGNAN
das Dores,DASDORES
da Silva,DASILVA
Dataram-Doerga,DATARAMDOERGA
D'Aubrée,DAUBREE
D'Auterive,DAUTERIVE
D'Aversa,DAVERSA
Da Vinci,DAVINCI
De Abreu,DEABREU
De Aliaga,DEALIAGA
de Almeida,DEALMEIDA
DeAnda,DEANDA
DeAndre,DEANDRE
DeArmond,DEARMOND
de Bahia,DEBAHIA
de Beaufort,DEBEAUFORT
De Bellis,DEBELLIS
de Bergerac,DEBERGERAC
de Bie,DEBIE
De Bildt,DEBILDT
de Blok,DEBLOK
De Boel,DEBOEL
de Boer,DEBOER
DeBolt,DEBOLT
De Bono,DEBONO
de Bortoli,DEBORTOLI
de Bourbon,DEBOURBON
de Bourg,DEBOURG
de Brauw,DEBRAUW
de Brinnon,DEBRINNON
de Broglie,DEBROGLIE
de Brugges,DEBRUGGES
de Bruijn,DEBRUIJN
de Bruin,DEBRUIN
DeBryn,DEBRYN
DeBussy,DEBUSSY
de Caldas,DECALDAS
de Camargo,DECAMARGO
De Carolis,DECAROLIS
De Carlo,DECARLO
De Casparis,DECASPARIS
De Castro,DECASTRO
de Cavalho,DECAVALHO
De Cecco,DECECCO
DeChant,DECHANT
De Clercq,DECLERCQ
de Cloe,DECLOE
De Conciliis,DECONCILIIS
De Deyn,DEDEYN
De Falco,DEFALCO
De Felipe,DEFELIPE
De Ferraris,DEFERRARIS
de Forrest,DEFORREST
De Franciscis,DEFRANCISCIS
De Franco,DEFRANCO
De Gaïlo,DEGAILO
DeGaulle,DEGAULLE
